StationID,StationName,StateName
365,Bulandsahar,UP
2263,Buldhana,MH
258,Bundi,RJ
8743,Burakayala Kota,AP
166,Burdwan,WB
2604,Burgur,TN
110,Burhanpur,MP
4373,Burla,OR
6064,Butati,RJ
10134,Buxwaha,MP
1453,Byadagi,KA
4374,Byawara,RJ
3512,Bylakuppe,KA
1454,Byndoor,KA
7250,C Hebbur,TN
5812,C.B.D Belapur,MH
7251,Calangute,GA
912,Calicut,KL
1456,Canacona,GA
2798,Cannanore,KL
4376,Ch-peta,AP
8340,Chabua,AS
7252,Chadachan,KA
9428,Chadhiar,HP
8386,Chafal,MH
7774,Chagalamarri,AP
476,Chagallu,AP
8745,Chakalikonda UDG,AP
4377,Chakkarakal,KL
1239,Chakur,MH
2610,Chala,KL
914,Chalakudy,KL
2613,Chalala,GJ
2614,Chalisgaon,MH
9570,Challagulla,AP
1459,Challakere,KA
4380,Challapalli,AP
9412,Challavanipeta,AP
2615,Chalode,KL
7254,Chamarajanagara,KA
4381,Chamardi,GJ
9416,Chamba,HP
9984,Chambanthotty,KL
7255,Chambatti,RJ
9444,Chamunda,HP
7256,Chamundipuram,RJ
1460,Chanasma,GJ
10084,Chanda (T)(Adilabad),TG
9788,Chandahandi,OR
7257,Chandanagar,AP
4382,Chandaval,RJ
7258,Chandgad,MH
1461,Chandigarh,CH
3571,Chandikol,OR
1155,Chandolu,AP
7259,Chandpur,UP
2617,Chandrai,RJ
809,Chandrapur,MH
8744,Chandrasekharapuram,AP
10241,Chandur Railway,MH
2618,ChandurBazar,MH
4383,Chandwad,MH
915,Changanassery,KL
2620,Changaveti,KA
3713,Channagiri,KA
3346,Channapatna,KA
4019,Channarayapatna,KA
7832,Chanubanda,AP
9240,Chapadu,AP
4384,Chapar,AS
4386,Chapha,UP
4387,Chapra,BR
4388,Charbhuja,RJ
7260,Charkala,KA
4389,Charma,UT
7261,Charmudi,KA
2622,Charoti,MH
7833,Chatrai,AP
9530,Chattanchal,KL
1004,Chavadi,TN
9536,Chavadimukku,KL
1000,Chavakad,KL
8911,Chavand,GJ
7262,Chavella,AP
8625,Chebrolu Gate (W.G),AP
469,Chebrolu Guntur,AP
8845,Chebrolu W.G,AP
9962,Chekkanoorani,TN
9502,Chelari,KL
1465,Chembur,MH
9980,Chemperi,KL
3427,Chempi,KA
2625,Chengalpattu,TN
7263,Chengam,TN
916,Chengannur,KL
2277,Chenkalpattu,TN
6,Chennai,TN
8561,Chennimalai,TN
9077,Chennur,AP
10170,Chennur(Mancherial),TG
4393,Cheranmadevi,TN
2629,Cherkala,KL
8714,Cherla,TG
4393,Chermadevi,TN
9977,Cherpalchery,KL
9977,Cherpulassery,KL
3846,Cherukupalli,AP
2631,Cherupuzha,KL
4395,Chettiyapathu,TN
4396,Chhapi,GJ
4397,Chhatral,GJ
4398,Chhattarpur,DL
4399,Chhegaon Makhan,MP
4400,Chhindwara,MP
8912,Chhokarwara,RJ
4401,Chhoti Sadri,RJ
7265,Chickamagaluru,KA
7266,Chickodi,KA
4402,Chicola,MH
1468,Chidambaram,TN
4403,Chidawa,RJ
10038,Chidipi,AP
4404,Chikalthana,MH
8399,Chikhaldara,MH
1469,Chikhali,MH
4405,Chikhali(bilimora),MH
10186,Chikhali(Gujarat),GJ
1031,Chikhli,GJ
4406,Chikhli (mh),MH
9385,Chikhli Buldana,MH
7268,Chikkaballapura,KA
7269,Chikkabyladakere,KA
299,Chikkala,AP
7270,Chikkalsandra (bangalore),KA
9661,Chikkamagaluru,KA
7271,Chikkanayakanahalli,KA
9957,Chikkerur,KA
1470,Chikodi,KA
56,Chilakaluripet,AP
5769,Chilamkur,AP
9215,Chillakallu,AP
4409,Chiloda,GJ
4410,Chilphi,MP
9093,Chimakurthy,AP
10242,Chimur,MH
7273,Chinakurli,KA
8090,Chinaoutpalli,
77,Chinchinada,AP
7274,Chincholi,KA
8416,Chinchwad,MH
4414,Chindhgarh(cg),CH
4415,Chindwada,MP
1473,Chingavanam,KL
1269,Chinna Ameeram,AP
8881,Chinna Goshala,AP
4416,Chinnadharapuram,TN
7968,Chinnaganjam,AP
10157,Chinnakanal,KL
9518,Chinnalapatti,TN
1474,Chinnamanur,TN
9087,Chinnasalem,TN
9650,Chinnathurai,TN
7275,Chintakunta Ka Ap Border,AP
2287,Chintalapudi W.G. Dist,AP
8747,Chintapally(Telangana),TG
2634,Chintaparthi,AP
2635,Chintpurni,HP
1236,Chipurupalli,AP
16,Chirala,AP
4417,Chirana,RJ
4419,Chiroda,GJ
4420,Chital,GJ
2271,Chithode,TN
3925,Chitradruga By Pass,KA
1475,Chitradurga,KA
9781,Chitrakonda,OR
4423,Chitrod,GJ
7276,Chittapur,KA
10274,Chittaranjan(West Bengal),WB
2638,Chittariparamba,KL
1477,Chittaurgarh,RJ
2639,Chittode Byepass,TN
130,Chittoor,AP
4425,Chittoor (kundapura Karnataka),AP
9924,Chittoor ByePass,AP
2640,Chittoor Rajasthan,RJ
10037,Chityala(W Godavari),AP
4428,Chogath Dhal,GJ
4429,Choki(sorath),GJ
9495,Cholapuram,TN
2641,Cholingar,TN
1481,Chomu,RJ
8476,Chopda ,MH
9336,Choppadandi,TG
10276,Choppella,AP
7277,Chorla Ka Ga Border,KA
9667,Chorwad (Maharashtra),MH
760,Chotila,GJ
4401,Chotisadri,RJ
4431,Chotiya,MP
2643,Chottanikara,KL
4432,Chourai,MP
10243,Chousala,MH
2644,Chowk,MH
10171,Chuda(Gujarat),GJ
4433,Chudapali,OR
9656,Chundale,KL
4434,Churu,RJ
4435,Chutiya,MH
3975,Cinnamanur,TN
530,Cochin,KL
10043,Cochin Airport,KL
794,Coimbatore,TN
1010,Coimbatore byepass,TN
9648,Colachel,TN
1485,Coonoor,TN
1486,Coorg,KA
7279,Courtlim,TN
4437,Cross Land,
1488,Cuddalore,TN
8186,Cumbum (Andhra Pradesh),AP
918,Cumbum (Tamilnadu),TN
7282,Cuncolim Bazar,GA
214,Cuttack,OR
7283,Dabgal,JH
9813,Dabhoi,GJ
9125,Dabi,RJ
2646,Dabok,RJ
4443,Dabra,MP
4444,Dabwali,HR
1112,Dachepalli,AP
9721,Dadvi,GJ
8428,Dahanu,MH
8913,Dahegam,GJ
1491,Dahisara,GJ
4446,Dahisara (guj),HR
9758,Dahithara,GJ
9663,Dahivel,MH
1493,Dahod,GJ
9126,Dahod By Pass,GJ
1494,Dakor,GJ
9417,Dalhousie,HP
9963,Dalkhania,GJ
4447,Damakheda,CT
1130,Damalacheruv,AP
1495,Daman,DD
4448,Damanjodi,OR
4071,Damaramadugu,AP
7284,Dambala,OR
8914,Damnagar,GJ
4449,Damoh,MP
10128,Dampal(Chhattisgarh),CT
1496,Dandeli,KA
9718,Danidhar,GJ
4450,Dantewada,CT
7061,Dantrai,RJ
7285,Danuli,UP
7286,Dapalapur Ka Mh Border,MP
4452,Dapodi,MH
1242,Dapoli,MH
